00:09:29.3798480 [Info] User sets phase shift to 6.0911994.
00:09:29.3954198 [Info] User sets phase shift to 6.1086526.
00:09:29.4436286 [Info] User sets phase shift to 6.126106.
00:09:29.4618811 [Info] User sets phase shift to 6.143559.
00:09:29.4781203 [Info] User sets phase shift to 6.161012.
00:09:29.5243873 [Info] User sets phase shift to 6.195919.
00:09:29.5957666 [Info] User sets phase shift to 6.213372.
00:09:29.6124098 [Info] User sets phase shift to 6.2308254.
00:09:29.6628804 [Info] User sets phase shift to 6.2482786.
00:09:29.7295717 [Info] User sets phase shift to 6.2657323.
00:09:29.8115619 [Info] User sets phase shift to 0.
00:09:29.8461423 [Info] User sets phase shift to 0.017453294.
00:09:37.2759539 [Info] User 0 sets frequency to 1.
00:09:38.5031491 [Info] User 0 sets frequency to 1.1.
00:09:39.0733288 [Info] User 0 sets frequency to 1.2.
00:09:51.7326393 [Info] User 0 sets frequency to 0.5.
00:10:09.8490475 [Info] User 0 sets frequency to 0.7.
00:10:11.5029693 [Info] User 0 sets frequency to 0.8.
00:10:11.9040034 [Info] User 0 sets frequency to 0.9.
00:10:18.7471371 [Info] User sets phase shift to 5.550147.
00:10:19.0309742 [Info] User sets phase shift to 5.742133.
00:10:19.6826706 [Info] User 0 sets frequency to 0.8.
00:10:19.8798145 [Info] User sets phase shift to 0.017453294.
00:10:19.8837122 [Info] User 0 sets frequency to 0.7.
00:10:20.1801214 [Info] User sets phase shift to 6.213372.
00:10:20.1948147 [Info] User sets phase shift to 6.178466.
00:10:20.2144128 [Info] User sets phase shift to 6.161012.
00:10:20.2304789 [Info] User sets phase shift to 6.143559.
00:10:20.2467458 [Info] User sets phase shift to 6.1086526.
00:10:20.2670435 [Info] User 0 sets frequency to 0.6.
00:10:20.2804793 [Info] User sets phase shift to 6.0911994.
00:10:20.2834299 [Info] User 0 sets frequency to 0.5.
00:10:20.3018446 [Info] User 0 sets frequency to 0.4.
00:10:20.3169293 [Info] User 0 sets frequency to 0.3.
00:10:20.3322383 [Info] User sets phase shift to 6.0737457.
00:10:20.3496562 [Info] User 0 sets frequency to 0.2.
00:10:20.3634987 [Info] User sets phase shift to 6.0911994.
00:10:20.3677276 [Info] User 0 sets frequency to 0.1.
00:10:20.3825850 [Info] User sets phase shift to 6.0737457.
00:10:20.3964584 [Info] User sets phase shift to 6.0388393.
00:10:20.4130220 [Info] User sets phase shift to 5.969026.
00:10:20.4321674 [Info] User sets phase shift to 5.8468533.
00:10:20.4330300 [Info] User 0 sets frequency to 0.
00:10:20.4491426 [Info] User sets phase shift to 5.6723204.
00:10:20.4623911 [Info] User sets phase shift to 5.585054.
00:10:20.4793261 [Info] User sets phase shift to 5.550147.
00:10:20.4954236 [Info] User sets phase shift to 5.5152407.
00:10:20.5140184 [Info] User sets phase shift to 5.4803343.
00:10:20.5293796 [Info] User sets phase shift to 5.4628806.
00:10:20.5471430 [Info] User sets phase shift to 5.4454274.
00:10:20.5621857 [Info] User sets phase shift to 5.4105206.
00:10:20.5792472 [Info] User sets phase shift to 5.358161.
00:10:20.5966162 [Info] User sets phase shift to 5.340708.
00:10:20.6125079 [Info] User sets phase shift to 5.305801.
00:10:20.6306927 [Info] User sets phase shift to 5.2534413.
00:10:20.6475722 [Info] User sets phase shift to 5.183628.
00:10:20.6628208 [Info] User sets phase shift to 5.0789084.
00:10:20.6798168 [Info] User sets phase shift to 5.0090947.
00:10:20.6971988 [Info] User sets phase shift to 4.991642.
00:10:20.7129500 [Info] User sets phase shift to 4.974189.
00:10:20.7301670 [Info] User sets phase shift to 4.956735.
00:10:20.7637707 [Info] User sets phase shift to 4.939282.
00:10:20.7971241 [Info] User sets phase shift to 4.904375.
00:10:20.8126091 [Info] User sets phase shift to 4.8869224.
00:10:20.8818116 [Info] User sets phase shift to 4.8694687.
00:10:20.8969052 [Info] User sets phase shift to 4.8520155.
00:10:20.9293457 [Info] User sets phase shift to 4.8171086.
00:10:21.1623335 [Info] User sets phase shift to 4.8345623.
00:10:21.1966456 [Info] User sets phase shift to 4.8520155.
00:10:21.2644100 [Info] User sets phase shift to 4.8694687.
00:10:21.2948723 [Info] User sets phase shift to 4.8869224.
00:10:21.3797309 [Info] User sets phase shift to 4.9218287.
00:10:21.5483798 [Info] User sets phase shift to 4.904375.
00:10:21.5972142 [Info] User sets phase shift to 4.8869224.
00:10:21.6305038 [Info] User sets phase shift to 4.8694687.
00:10:23.9849866 [Info] User 0 sets frequency to 0.1.
00:10:24.0010481 [Info] User 0 sets frequency to 0.2.
00:10:24.0185528 [Info] User 0 sets frequency to 0.3.
00:10:24.0504477 [Info] User 0 sets frequency to 0.4.
00:10:24.1181799 [Info] User 0 sets frequency to 0.5.
00:10:24.1360794 [Info] User 0 sets frequency to 0.6.
00:10:24.1511637 [Info] User 0 sets frequency to 0.7.
00:10:24.2005126 [Info] User 0 sets frequency to 0.8.
00:10:24.2338486 [Info] User 0 sets frequency to 0.9.
00:10:24.2507399 [Info] User 0 sets frequency to 1.
00:10:24.5517645 [Info] User 0 sets frequency to 1.1.
00:10:24.5840620 [Info] User 0 sets frequency to 1.2.
00:10:24.6024720 [Info] User 0 sets frequency to 1.3.
00:10:24.7175466 [Info] User 0 sets frequency to 1.4.
00:10:25.3508034 [Info] User 0 sets frequency to 1.5.
00:10:25.4329404 [Info] User 0 sets frequency to 1.6.
00:10:28.5340761 [Info] User 0 sets frequency to 1.5.
00:10:28.6021078 [Info] User 0 sets frequency to 1.4.
00:10:28.7016331 [Info] User 0 sets frequency to 1.3.
00:10:29.8843600 [Info] User 0 sets frequency to 1.2.
00:10:29.9516460 [Info] User 0 sets frequency to 1.1.
00:10:31.6009333 [Info] User 0 sets frequency to 1.
00:10:32.0017855 [Info] User 0 sets frequency to 0.9.
