frame,timestamp_sec,speed_px/s,distance_px/s
363,12.1121,0.000,0.000
364,12.1454,0.000,0.000
365,12.1788,0.000,0.000
366,12.2122,0.000,0.000
367,12.2455,0.000,0.000
368,12.2789,0.000,0.000
369,12.3123,0.000,0.000
370,12.3456,0.000,0.000
371,12.3790,0.000,0.000
372,12.4124,0.000,0.000
373,12.4457,0.000,0.000
374,12.4791,0.000,0.000
375,12.5125,0.000,0.000
376,12.5458,0.000,0.000
377,12.5792,0.000,0.000
378,12.6126,0.000,0.000
379,12.6459,0.000,0.000
380,12.6793,0.000,0.000
381,12.7127,0.000,0.000
382,12.7460,0.000,0.000
383,12.7794,0.000,0.000
384,12.8128,0.000,0.000
385,12.8461,0.000,0.000
386,12.8795,0.000,0.000
387,12.9129,0.000,0.000
388,12.9462,0.000,0.000
389,12.9796,0.000,0.000
390,13.0130,0.000,0.000
391,13.0463,0.000,0.000
392,13.0797,7.493,0.250
393,13.1131,0.000,0.000
394,13.1464,7.493,0.250
395,13.1798,0.000,0.000
396,13.2132,0.000,0.000
397,13.2465,0.000,0.000
398,13.2799,0.000,0.000
399,13.3133,0.000,0.000
400,13.3466,0.000,0.000
401,13.3800,0.000,0.000
402,13.4134,0.000,0.000
403,13.4467,0.000,0.000
404,13.4801,0.000,0.000
405,13.5135,0.000,0.000
406,13.5468,0.000,0.000
407,13.5802,0.000,0.000
408,13.6136,0.000,0.000
409,13.6469,0.000,0.000
410,13.6803,0.000,0.000
411,13.7137,0.000,0.000
412,13.7470,0.000,0.000
413,13.7804,0.000,0.000
414,13.8138,0.000,0.000
415,13.8471,0.000,0.000
416,13.8805,0.000,0.000
417,13.9139,0.000,0.000
418,13.9472,0.000,0.000
419,13.9806,0.000,0.000
420,14.0140,0.000,0.000
421,14.0473,0.000,0.000
422,14.0807,0.000,0.000
423,14.1141,0.000,0.000
424,14.1474,0.000,0.000
425,14.1808,0.000,0.000
426,14.2142,7.493,0.250
427,14.2475,0.000,0.000
428,14.2809,0.000,0.000
429,14.3143,0.000,0.000
430,14.3476,0.000,0.000
431,14.3810,0.000,0.000
432,14.4144,0.000,0.000
433,14.4477,0.000,0.000
434,14.4811,0.000,0.000
435,14.5145,0.000,0.000
436,14.5478,0.000,0.000
437,14.5812,0.000,0.000
438,14.6146,0.000,0.000
439,14.6479,0.000,0.000
440,14.6813,0.000,0.000
441,14.7147,0.000,0.000
442,14.7480,0.000,0.000
443,14.7814,0.000,0.000
444,14.8148,7.493,0.250
445,14.8481,0.000,0.000
446,14.8815,0.000,0.000
447,14.9149,0.000,0.000
448,14.9482,0.000,0.000
449,14.9816,0.000,0.000
450,15.0150,0.000,0.000
451,15.0483,0.000,0.000
452,15.0817,0.000,0.000
453,15.1151,0.000,0.000
454,15.1484,0.000,0.000
455,15.1818,0.000,0.000
456,15.2152,0.000,0.000
457,15.2485,0.000,0.000
458,15.2819,0.000,0.000
459,15.3153,0.000,0.000
460,15.3486,0.000,0.000
461,15.3820,0.000,0.000
462,15.4154,0.000,0.000
463,15.4487,0.000,0.000
464,15.4821,0.000,0.000
465,15.5155,0.000,0.000
466,15.5488,0.000,0.000
467,15.5822,0.000,0.000
468,15.6156,0.000,0.000
469,15.6489,0.000,0.000
470,15.6823,0.000,0.000
471,15.7157,0.000,0.000
472,15.7490,0.000,0.000
473,15.7824,0.000,0.000
474,15.8158,0.000,0.000
475,15.8491,0.000,0.000
476,15.8825,0.000,0.000
477,15.9159,0.000,0.000
478,15.9492,7.493,0.250
479,15.9826,0.000,0.000
480,16.0160,0.000,0.000
481,16.0493,0.000,0.000
482,16.0827,0.000,0.000
483,16.1161,0.000,0.000
484,16.1494,0.000,0.000
485,16.1828,0.000,0.000
486,16.2162,0.000,0.000
487,16.2495,0.000,0.000
488,16.2829,0.000,0.000
489,16.3163,0.000,0.000
490,16.3496,0.000,0.000
491,16.3830,0.000,0.000
492,16.4164,0.000,0.000
493,16.4497,0.000,0.000
494,16.4831,0.000,0.000
495,16.5165,0.000,0.000
496,16.5498,0.000,0.000
497,16.5832,0.000,0.000
498,16.6166,0.000,0.000
499,16.6499,0.000,0.000
500,16.6833,0.000,0.000
501,16.7167,0.000,0.000
502,16.7500,0.000,0.000
503,16.7834,0.000,0.000
504,16.8168,0.000,0.000
505,16.8501,0.000,0.000
506,16.8835,0.000,0.000
507,16.9169,0.000,0.000
508,16.9502,0.000,0.000
509,16.9836,0.000,0.000
510,17.0170,0.000,0.000
511,17.0503,0.000,0.000
512,17.0837,0.000,0.000
513,17.1171,0.000,0.000
514,17.1504,0.000,0.000
515,17.1838,0.000,0.000
516,17.2172,0.000,0.000
517,17.2505,0.000,0.000
518,17.2839,0.000,0.000
519,17.3173,0.000,0.000
520,17.3506,0.000,0.000
521,17.3840,0.000,0.000
