frame,timestamp,position_x_px,position_y_px,orientation,num_markers
216,7.2072,893.00,457.00,-19.44,1
217,7.2406,893.00,457.00,-19.44,1
218,7.2739,893.00,457.00,-19.44,1
219,7.3073,893.00,457.00,-19.44,1
220,7.3407,893.00,457.00,-19.44,1
221,7.3740,893.00,457.00,-19.44,1
222,7.4074,893.00,457.00,-19.44,1
223,7.4408,893.00,457.00,-19.44,1
224,7.4741,893.00,457.00,-19.44,1
225,7.5075,893.00,457.00,-19.44,1
226,7.5409,893.00,457.00,-19.44,1
227,7.5742,893.00,457.00,-19.44,1
228,7.6076,893.00,457.00,-19.44,1
229,7.6410,893.00,457.00,-19.44,1
230,7.6743,893.00,457.00,-19.44,1
231,7.7077,893.00,457.00,-19.44,1
232,7.7411,893.00,457.00,-19.44,1
233,7.7744,893.00,457.00,-19.44,1
234,7.8078,893.00,457.00,-19.44,1
235,7.8412,893.00,457.00,-19.44,1
236,7.8745,893.00,457.00,-19.44,1
237,7.9079,893.00,457.00,-19.44,1
238,7.9413,893.00,457.00,-19.44,1
239,7.9746,893.00,457.25,-20.19,1
240,8.0080,893.00,457.25,-20.19,1
241,8.0414,893.00,457.25,-20.19,1
242,8.0747,893.00,457.25,-20.19,1
243,8.1081,893.00,457.25,-20.19,1
244,8.1415,893.00,457.25,-20.19,1
245,8.1748,893.00,457.25,-20.19,1
246,8.2082,893.00,457.25,-20.19,1
247,8.2416,893.00,457.25,-20.19,1
248,8.2749,893.00,457.25,-20.19,1
249,8.3083,893.00,457.25,-20.19,1
250,8.3417,893.00,457.25,-20.19,1
251,8.3750,893.00,457.25,-20.19,1
252,8.4084,893.00,457.25,-20.19,1
253,8.4418,893.00,457.25,-20.19,1
254,8.4751,893.00,457.25,-20.19,1
255,8.5085,893.00,457.25,-20.19,1
256,8.5419,893.00,457.25,-20.19,1
257,8.5752,893.00,457.25,-20.19,1
258,8.6086,893.00,457.25,-20.19,1
259,8.6420,893.00,457.25,-20.19,1
260,8.6753,893.00,457.25,-20.19,1
261,8.7087,893.00,457.25,-20.19,1
262,8.7421,893.00,457.25,-20.19,1
263,8.7754,893.00,457.25,-20.19,1
264,8.8088,893.00,457.25,-20.19,1
265,8.8422,893.00,457.25,-20.19,1
266,8.8755,893.00,457.25,-20.19,1
267,8.9089,893.00,457.25,-20.19,1
268,8.9423,893.00,457.25,-20.19,1
269,8.9756,893.00,457.25,-20.19,1
270,9.0090,893.00,457.25,-20.19,1
271,9.0424,893.00,457.25,-20.19,1
272,9.0757,893.00,457.25,-20.19,1
273,9.1091,893.00,457.25,-20.19,1
274,9.1425,893.00,457.25,-20.19,1
275,9.1758,893.00,457.25,-20.19,1
276,9.2092,893.00,457.25,-20.19,1
277,9.2426,893.00,457.25,-20.19,1
278,9.2759,893.00,457.25,-20.19,1
279,9.3093,893.00,457.25,-20.19,1
280,9.3427,893.00,457.25,-20.19,1
281,9.3760,893.00,457.25,-20.19,1
282,9.4094,893.00,457.25,-20.19,1
283,9.4428,893.00,457.25,-20.19,1
284,9.4761,893.00,457.25,-20.19,1
285,9.5095,893.00,457.25,-20.19,1
286,9.5429,893.00,457.25,-20.19,1
287,9.5762,893.00,457.25,-20.19,1
288,9.6096,893.00,457.00,-19.44,1
289,9.6430,893.00,457.00,-19.44,1
290,9.6763,893.00,457.25,-20.19,1
291,9.7097,893.00,457.25,-20.19,1
292,9.7431,893.00,457.25,-20.19,1
293,9.7764,893.00,457.25,-20.19,1
294,9.8098,893.00,457.25,-20.19,1
295,9.8432,893.00,457.25,-20.19,1
296,9.8765,893.00,457.25,-20.19,1
297,9.9099,893.00,457.25,-20.19,1
298,9.9433,893.00,457.25,-20.19,1
299,9.9766,893.00,457.25,-20.19,1
300,10.0100,893.00,457.25,-20.19,1
301,10.0434,893.00,457.25,-20.19,1
302,10.0767,893.00,457.25,-20.19,1
303,10.1101,893.00,457.25,-20.19,1
304,10.1435,893.00,457.25,-20.19,1
305,10.1768,893.00,457.25,-20.19,1
306,10.2102,893.00,457.25,-20.19,1
307,10.2436,893.00,457.00,-19.44,1
308,10.2769,893.00,457.00,-19.44,1
309,10.3103,893.00,457.00,-19.44,1
310,10.3437,893.00,457.00,-19.44,1
311,10.3770,893.00,457.00,-19.44,1
312,10.4104,893.00,457.00,-19.44,1
313,10.4438,893.00,457.00,-19.44,1
314,10.4771,893.00,457.00,-19.44,1
315,10.5105,893.00,457.00,-19.44,1
316,10.5439,893.00,457.00,-19.44,1
317,10.5772,893.00,457.00,-19.44,1
318,10.6106,893.00,457.00,-19.44,1
319,10.6440,893.00,457.00,-19.44,1
320,10.6773,893.00,457.00,-19.44,1
321,10.7107,893.00,457.00,-19.44,1
322,10.7441,893.00,457.00,-19.44,1
323,10.7774,893.00,457.00,-19.44,1
324,10.8108,893.00,457.00,-19.44,1
325,10.8441,893.00,457.00,-19.44,1
326,10.8775,893.00,457.00,-19.44,1
327,10.9109,893.00,457.00,-19.44,1
328,10.9442,893.00,457.00,-19.44,1
329,10.9776,893.00,457.00,-19.44,1
330,11.0110,893.00,457.25,-20.19,1
331,11.0443,893.00,457.25,-20.19,1
332,11.0777,893.00,457.25,-20.19,1
333,11.1111,893.00,457.25,-20.19,1
334,11.1444,893.00,457.25,-20.19,1
335,11.1778,893.00,457.25,-20.19,1
336,11.2112,893.00,457.25,-20.19,1
337,11.2445,893.00,457.25,-20.19,1
338,11.2779,893.00,457.25,-20.19,1
339,11.3113,893.00,457.25,-20.19,1
340,11.3446,893.00,457.25,-20.19,1
341,11.3780,893.00,457.25,-20.19,1
342,11.4114,893.00,457.25,-20.19,1
343,11.4447,893.00,457.25,-20.19,1
344,11.4781,893.00,457.25,-20.19,1
345,11.5115,893.00,457.25,-20.19,1
346,11.5448,893.00,457.00,-19.44,1
347,11.5782,893.00,457.00,-19.44,1
348,11.6116,893.00,457.00,-19.44,1
349,11.6449,893.00,457.00,-19.44,1
350,11.6783,893.00,457.00,-19.44,1
351,11.7117,893.00,457.00,-19.44,1
352,11.7450,893.00,457.00,-19.44,1
353,11.7784,893.00,457.00,-19.44,1
354,11.8118,893.00,457.00,-19.44,1
355,11.8451,893.00,457.00,-19.44,1
356,11.8785,893.00,457.00,-19.44,1
357,11.9119,893.00,457.00,-19.44,1
358,11.9452,893.00,457.00,-19.44,1
359,11.9786,893.00,457.00,-19.44,1
360,12.0120,893.00,457.00,-19.44,1
361,12.0453,893.00,457.00,-19.44,1
362,12.0787,893.00,457.00,-19.44,1
363,12.1121,893.00,457.00,-19.44,1
364,12.1454,893.00,457.00,-19.44,1
365,12.1788,893.00,457.00,-19.44,1
366,12.2122,893.00,457.00,-19.44,1
367,12.2455,893.00,457.00,-19.44,1
368,12.2789,893.00,457.00,-19.44,1
369,12.3123,893.00,457.00,-19.44,1
370,12.3456,893.00,457.00,-19.44,1
371,12.3790,893.00,457.00,-19.44,1
372,12.4124,893.00,457.00,-19.44,1
373,12.4457,893.00,457.00,-19.44,1
374,12.4791,893.00,457.00,-19.44,1
375,12.5125,893.00,457.00,-19.44,1
376,12.5458,893.00,457.00,-19.44,1
377,12.5792,893.00,457.00,-19.44,1
378,12.6126,893.00,457.00,-19.44,1
379,12.6459,893.00,457.00,-19.44,1
380,12.6793,893.00,457.00,-19.44,1
381,12.7127,893.00,457.00,-19.44,1
382,12.7460,893.00,457.00,-19.44,1
383,12.7794,893.00,457.00,-19.44,1
384,12.8128,893.00,457.00,-19.44,1
385,12.8461,893.00,457.00,-19.44,1
386,12.8795,893.00,457.00,-19.44,1
387,12.9129,893.00,457.00,-19.44,1
388,12.9462,893.00,457.00,-19.44,1
389,12.9796,893.00,457.00,-19.44,1
390,13.0130,893.00,457.00,-19.44,1
391,13.0463,893.00,457.00,-19.44,1
392,13.0797,893.00,457.25,-17.16,1
393,13.1131,893.00,457.25,-17.16,1
394,13.1464,893.00,457.00,-19.44,1
395,13.1798,893.00,457.00,-19.44,1
396,13.2132,893.00,457.00,-19.44,1
397,13.2465,893.00,457.00,-19.44,1
398,13.2799,893.00,457.00,-19.44,1
399,13.3133,893.00,457.00,-19.44,1
400,13.3466,893.00,457.00,-19.44,1
401,13.3800,893.00,457.00,-19.44,1
402,13.4134,893.00,457.00,-19.44,1
403,13.4467,893.00,457.00,-19.44,1
404,13.4801,893.00,457.00,-19.44,1
405,13.5135,893.00,457.00,-19.44,1
406,13.5468,893.00,457.00,-19.44,1
407,13.5802,893.00,457.00,-19.44,1
408,13.6136,893.00,457.00,-19.44,1
409,13.6469,893.00,457.00,-19.44,1
410,13.6803,893.00,457.00,-19.44,1
411,13.7137,893.00,457.00,-19.44,1
412,13.7470,893.00,457.00,-19.44,1
413,13.7804,893.00,457.00,-19.44,1
414,13.8138,893.00,457.00,-19.44,1
415,13.8471,893.00,457.00,-19.44,1
416,13.8805,893.00,457.00,-19.44,1
417,13.9139,893.00,457.00,-19.44,1
418,13.9472,893.00,457.00,-19.44,1
419,13.9806,893.00,457.00,-19.44,1
420,14.0140,893.00,457.00,-19.44,1
421,14.0473,893.00,457.00,-19.44,1
422,14.0807,893.00,457.00,-19.44,1
423,14.1141,893.00,457.00,-19.44,1
424,14.1474,893.00,457.00,-19.44,1
425,14.1808,893.00,457.00,-19.44,1
426,14.2142,893.00,457.25,-20.19,1
427,14.2475,893.00,457.25,-20.19,1
428,14.2809,893.00,457.25,-20.19,1
429,14.3143,893.00,457.25,-20.19,1
430,14.3476,893.00,457.25,-20.19,1
431,14.3810,893.00,457.25,-20.19,1
432,14.4144,893.00,457.25,-20.19,1
433,14.4477,893.00,457.25,-20.19,1
434,14.4811,893.00,457.25,-20.19,1
435,14.5145,893.00,457.25,-20.19,1
436,14.5478,893.00,457.25,-20.19,1
437,14.5812,893.00,457.25,-20.19,1
438,14.6146,893.00,457.25,-20.19,1
439,14.6479,893.00,457.25,-20.19,1
440,14.6813,893.00,457.25,-20.19,1
441,14.7147,893.00,457.25,-20.19,1
442,14.7480,893.00,457.25,-20.19,1
443,14.7814,893.00,457.25,-20.19,1
444,14.8148,893.00,457.00,-19.44,1
445,14.8481,893.00,457.00,-19.44,1
446,14.8815,893.00,457.00,-19.44,1
447,14.9149,893.00,457.00,-19.44,1
448,14.9482,893.00,457.00,-19.44,1
449,14.9816,893.00,457.00,-19.44,1
450,15.0150,893.00,457.00,-19.44,1
451,15.0483,893.00,457.00,-19.44,1
452,15.0817,893.00,457.00,-19.44,1
453,15.1151,893.00,457.00,-19.44,1
454,15.1484,893.00,457.00,-19.44,1
455,15.1818,893.00,457.00,-19.44,1
456,15.2152,893.00,457.00,-19.44,1
457,15.2485,893.00,457.00,-19.44,1
458,15.2819,893.00,457.00,-19.44,1
459,15.3153,893.00,457.00,-19.44,1
460,15.3486,893.00,457.00,-19.44,1
461,15.3820,893.00,457.00,-19.44,1
462,15.4154,893.00,457.00,-19.44,1
463,15.4487,893.00,457.00,-19.44,1
464,15.4821,893.00,457.00,-19.44,1
465,15.5155,893.00,457.00,-19.44,1
466,15.5488,893.00,457.00,-19.44,1
467,15.5822,893.00,457.00,-19.44,1
468,15.6156,893.00,457.00,-19.44,1
469,15.6489,893.00,457.00,-19.44,1
470,15.6823,893.00,457.00,-19.44,1
471,15.7157,893.00,457.00,-19.44,1
472,15.7490,893.00,457.00,-19.44,1
473,15.7824,893.00,457.00,-19.44,1
474,15.8158,893.00,457.00,-19.44,1
475,15.8491,893.00,457.00,-19.44,1
476,15.8825,893.00,457.00,-19.44,1
477,15.9159,893.00,457.00,-19.44,1
478,15.9492,893.00,457.25,-20.19,1
479,15.9826,893.00,457.25,-20.19,1
480,16.0160,893.00,457.25,-20.19,1
481,16.0493,893.00,457.25,-20.19,1
482,16.0827,893.00,457.25,-20.19,1
483,16.1161,893.00,457.25,-20.19,1
484,16.1494,893.00,457.25,-20.19,1
485,16.1828,893.00,457.25,-20.19,1
486,16.2162,893.00,457.25,-20.19,1
487,16.2495,893.00,457.25,-20.19,1
488,16.2829,893.00,457.25,-20.19,1
489,16.3163,893.00,457.25,-20.19,1
490,16.3496,893.00,457.25,-20.19,1
491,16.3830,893.00,457.25,-20.19,1
492,16.4164,893.00,457.25,-20.19,1
493,16.4497,893.00,457.25,-20.19,1
494,16.4831,893.00,457.25,-20.19,1
495,16.5165,893.00,457.25,-20.19,1
496,16.5498,893.00,457.25,-20.19,1
497,16.5832,893.00,457.25,-20.19,1
498,16.6166,893.00,457.25,-20.19,1
499,16.6499,893.00,457.25,-20.19,1
500,16.6833,893.00,457.25,-20.19,1
501,16.7167,893.00,457.25,-20.19,1
502,16.7500,893.00,457.25,-20.19,1
503,16.7834,893.00,457.25,-20.19,1
