time,user,param,value,time_sec
00:03:39.3279732,2,phase shift,5.8293996,219.3279732
00:03:39.3428681,2,phase shift,5.759587,219.3428681
00:03:39.3593321,2,phase shift,5.7072268,219.35933210000002
00:03:39.3754971,2,phase shift,5.6723204,219.3754971
00:03:39.3916967,2,phase shift,5.6548667,219.3916967
00:03:39.4084741,2,phase shift,5.6199603,219.4084741
00:03:39.4257547,2,phase shift,5.585054,219.4257547
00:03:39.4438686,2,phase shift,5.5152407,219.4438686
00:03:39.4580931,2,phase shift,5.4279737,219.45809309999999
00:03:39.4753179,2,phase shift,5.323254,219.4753179
00:03:39.4935065,2,phase shift,5.2708945,219.4935065
00:03:39.5091294,2,phase shift,5.166175,219.5091294
00:03:39.5271647,2,phase shift,5.131268,219.52716470000001
00:03:39.5433959,2,phase shift,5.0440016,219.5433959
00:03:39.5617849,2,phase shift,4.974189,219.5617849
00:03:39.5761112,2,phase shift,4.904375,219.5761112
00:03:39.5932916,2,phase shift,4.8345623,219.5932916
00:03:39.6109904,2,phase shift,4.7822022,219.6109904
00:03:39.6250493,2,phase shift,4.764749,219.6250493
00:03:39.6426459,2,phase shift,4.712389,219.6426459
00:03:39.6574504,2,phase shift,4.6600294,219.65745040000002
00:03:39.6754040,2,phase shift,4.590216,219.67540400000001
00:03:39.6928100,2,phase shift,4.502949,219.69281
00:03:39.7079287,2,phase shift,4.4156833,219.7079287
00:03:39.7250941,2,phase shift,4.34587,219.7250941
00:03:39.7429415,2,phase shift,4.310963,219.7429415
00:03:39.7584174,2,phase shift,4.276057,219.75841739999998
00:03:39.7767422,2,phase shift,4.2411504,219.7767422
00:03:39.7946106,2,phase shift,4.2236967,219.7946106
00:03:39.8096889,2,phase shift,4.171337,219.8096889
00:03:39.8280456,2,phase shift,4.101524,219.8280456
00:03:39.8433769,2,phase shift,4.0142574,219.8433769
00:03:39.8597463,2,phase shift,3.9968042,219.85974629999998
00:03:39.8756317,2,phase shift,3.9618976,219.87563169999999
00:03:39.8917576,2,phase shift,3.9444442,219.8917576
00:03:39.9086896,2,phase shift,3.926991,219.9086896
00:03:39.9249278,2,phase shift,3.8920844,219.9249278
